i,Variable,Definition
2261,PLUS_DEBT_ALL_COMP_MD_SUPP,"Median PLUS loan debt disbursed to completers at all institutions, suppressed for n=30"
2262,PLUS_DEBT_ALL_COMP_MDPAY10_SUPP,"Median estimated monthly payment for PLUS loan debt disbursed to completers at all institutions, suppressed for n=30"
2263,PLUS_DEBT_INST_NOCOMP_N,Student recipient count for median PLUS loan debt disbursed to non-completers at this institution
2264,PLUS_DEBT_INST_NOCOMP_MD,Median PLUS loan debt disbursed to non-completers at this institution
2265,PLUS_DEBT_ALL_NOCOMP_N,Student recipient count for median PLUS loan debt disbursed to non-completers at all institutions
2266,PLUS_DEBT_ALL_NOCOMP_MD,Median PLUS loan debt disbursed to non-completers at all institutions
2267,PLUS_DEBT_INST_MALE_N,Student recipient count for median PLUS loan debt disbursed to males at this institution
2268,PLUS_DEBT_INST_MALE_MD,Median PLUS loan debt disbursed to males at this institution
2269,PLUS_DEBT_ALL_MALE_N,Student recipient count for median PLUS loan debt disbursed to males at all institutions
2270,PLUS_DEBT_ALL_MALE_MD,Median PLUS loan debt disbursed to males at all institutions
2271,PLUS_DEBT_INST_NOMALE_N,Student recipient count for median PLUS loan debt disbursed to non-males at this institution
2272,PLUS_DEBT_INST_NOMALE_MD,Median PLUS loan debt disbursed to non-males at this institution
2273,PLUS_DEBT_ALL_NOMALE_N,Student recipient count for median PLUS loan debt disbursed to non-males at all institutions
2274,PLUS_DEBT_ALL_NOMALE_MD,Median PLUS loan debt disbursed to non-males at all institutions
2275,PLUS_DEBT_INST_PELL_N,Student recipient count for median PLUS loan debt disbursed to Pell recipients at this institution
2276,PLUS_DEBT_INST_PELL_MD,Median PLUS loan debt disbursed to Pell recipients at this institution
2277,PLUS_DEBT_ALL_PELL_N,Student recipient count for median PLUS loan debt disbursed to Pell recipients at all institutions
2278,PLUS_DEBT_ALL_PELL_MD,Median PLUS loan debt disbursed to Pell recipients at all institutions
2279,PLUS_DEBT_INST_NOPELL_N,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at this institution
2280,PLUS_DEBT_INST_NOPELL_MD,Median PLUS loan debt disbursed to non-Pell-recipients at this institution
2281,PLUS_DEBT_ALL_NOPELL_N,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at all institutions
2282,PLUS_DEBT_ALL_NOPELL_MD,Median PLUS loan debt disbursed to non-Pell-recipients at all institutions
2283,PLUS_DEBT_INST_STAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at this institution to Stafford loan recipients at this institution
2284,PLUS_DEBT_INST_STAFFTHIS_MD,Median PLUS loan debt disbursed at this institution to Stafford loan recipients at this institution
2285,PLUS_DEBT_ALL_STAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at any institution to Stafford loan recipients at this institution
2286,PLUS_DEBT_ALL_STAFFTHIS_MD,Median PLUS loan debt disbursed at any institution to Stafford loan recipients at this institution
2287,PLUS_DEBT_INST_NOSTAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at this institution
2288,PLUS_DEBT_INST_NOSTAFFTHIS_MD,Median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at this institution
2289,PLUS_DEBT_ALL_NOSTAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at this institution
2290,PLUS_DEBT_ALL_NOSTAFFTHIS_MD,Median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at this institution
2291,PLUS_DEBT_INST_STAFFANY_N,Student recipient count for median PLUS loan debt disbursed at this institution to Stafford loan recipients at any institution
2292,PLUS_DEBT_INST_STAFFANY_MD,Median PLUS loan debt disbursed at this institution to Stafford loan recipients at any institution
2293,PLUS_DEBT_ALL_STAFFANY_N,Student recipient count for median PLUS loan debt disbursed at any institution to Stafford loan recipients at any institution
2294,PLUS_DEBT_ALL_STAFFANY_MD,Median PLUS loan debt disbursed at any institution to Stafford loan recipients at any institution
2295,PLUS_DEBT_INST_NOSTAFFANY_N,Student recipient count for median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at any institution
2296,PLUS_DEBT_INST_NOSTAFFANY_MD,Median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at any institution
2297,PLUS_DEBT_ALL_NOSTAFFANY_N,Student recipient count for median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at any institution
2298,PLUS_DEBT_ALL_NOSTAFFANY_MD,Median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at any institution
2299,COUNT_NWNE_3YR,Number of graduates not working and not enrolled 3 years after completing
2300,COUNT_WNE_3YR,Number of graduates working and not enrolled 3 years after completing
2301,CNTOVER150_3YR,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 3 years after completing
2302,DBRR1_FED_UG_N,Undergraduate federal student loan dollar-based 1-year repayment rate borrower count
2303,DBRR1_FED_UG_NUM,Undergraduate federal student loan dollar-based 1-year repayment rate numerator
2304,DBRR1_FED_UG_DEN,Undergraduate federal student loan dollar-based 1-year repayment rate denominator
2305,DBRR1_FED_UG_RT,Undergraduate federal student loan dollar-based 1-year repayment rate
2306,DBRR1_FED_GR_N,Graduate federal student loan dollar-based 1-year repayment rate borrower count
2307,DBRR1_FED_GR_NUM,Graduate federal student loan dollar-based 1-year repayment rate numerator
2308,DBRR1_FED_GR_DEN,Graduate federal student loan dollar-based 1-year repayment rate denominator
2309,DBRR1_FED_GR_RT,Graduate federal student loan dollar-based 1-year repayment rate
2310,DBRR1_FED_UGCOMP_N,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate borrower count
2311,DBRR1_FED_UGCOMP_NUM,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate numerator
2312,DBRR1_FED_UGCOMP_DEN,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate denominator
2313,DBRR1_FED_UGCOMP_RT,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate
2314,DBRR1_FED_UGNOCOMP_N,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate borrower count
2315,DBRR1_FED_UGNOCOMP_NUM,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate numerator
2316,DBRR1_FED_UGNOCOMP_DEN,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate denominator
2317,DBRR1_FED_UGNOCOMP_RT,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate repayment rate
2318,DBRR1_FED_UGUNK_N,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate borrower count
2319,DBRR1_FED_UGUNK_NUM,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate numerator
2320,DBRR1_FED_UGUNK_DEN,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate denominator
2321,DBRR1_FED_UGUNK_RT,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate repayment rate
2322,DBRR1_FED_GRCOMP_N,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate borrower count
2323,DBRR1_FED_GRCOMP_NUM,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate numerator
2324,DBRR1_FED_GRCOMP_DEN,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate denominator
2325,DBRR1_FED_GRCOMP_RT,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate
2326,DBRR1_FED_GRNOCOMP_N,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate borrower count
2327,DBRR1_FED_GRNOCOMP_NUM,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate numerator
2328,DBRR1_FED_GRNOCOMP_DEN,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate denominator
2329,DBRR1_FED_GRNOCOMP_RT,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate repayment rate
2330,DBRR4_FED_UG_N,Undergraduate federal student loan dollar-based 4-year repayment rate borrower count
2331,DBRR4_FED_UG_NUM,Undergraduate federal student loan dollar-based 4-year repayment rate numerator
2332,DBRR4_FED_UG_DEN,Undergraduate federal student loan dollar-based 4-year repayment rate denominator
2333,DBRR4_FED_UG_RT,Undergraduate federal student loan dollar-based 4-year repayment rate
2334,DBRR4_FED_GR_N,Graduate federal student loan dollar-based 4-year repayment rate borrower count
2335,DBRR4_FED_GR_NUM,Graduate federal student loan dollar-based 4-year repayment rate numerator
2336,DBRR4_FED_GR_DEN,Graduate federal student loan dollar-based 4-year repayment rate denominator
2337,DBRR4_FED_GR_RT,Graduate federal student loan dollar-based 4-year repayment rate
2338,DBRR4_FED_UGCOMP_N,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate borrower count
2339,DBRR4_FED_UGCOMP_NUM,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate numerator
